id,created_at,clean_text,polarity,subjectivity,lang,followers_count,friends_count,favourites_count
1405949169085423619,2021-06-18 18:02:57+00:00,rt  globalhlthtwit  dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate re…,0.13333333333333333,0.45555555555555555,en,256,564,34654
1405949200894861312,2021-06-18 18:03:05+00:00,rt  cdcdirector  i’m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n…,0.6444444444444445,0.9111111111111111,en,64,406,13769
1405949214597734405,2021-06-18 18:03:08+00:00,"rt  n ramchanderrao  covid19 vaccines reach the remotest places of jammu  amp  kashmir s gujjars  bakarwals community  

healthcare staff   bjp…",0.0,0.0,en,559,772,51695
1405949234206154756,2021-06-18 18:03:13+00:00,"rt  balange4   healthcare systems nationwide are taking action to be more diverse  inclusive and  equitable   however 

employee vaccinatio…",0.3625,0.3,en,261,708,28238
1405949284260929539,2021-06-18 18:03:25+00:00,"rt  quizzicalgirl  please do your research first if you read or see something about vaccines or  covid19 that sounds unusual 

spreading di…",0.225,0.6666666666666666,en,42704,26651,115060
1405949286236397569,2021-06-18 18:03:25+00:00,rt  rgrosjean  excited to be racing at  roadamerica this weekend  come on another drive with me to  vaccinequity  amp   gogiveone to get vaccin…,0.375,0.75,en,2949,1339,4827
1405949293526011911,2021-06-18 18:03:27+00:00,"rt  ghs   in africa   covid19 cases have increased by 52  just in the past week  amp  deaths have increased by 32   

we expect things to only…",-0.25,0.25,en,6353,2978,138330
1405949320197816321,2021-06-18 18:03:33+00:00,rt  itranslate123   aipac will aipac tell the world that israel has sold expired vaccines to palestinians  which could have been disastrous…,0.0,0.0,en,128,172,1174
1405949322483621890,2021-06-18 18:03:34+00:00,rt  arstechnica  so far  us citizens have had the choice of rna based vaccines  the novavax vaccine uses an entirely different technology …,0.05,0.8,en,354,854,176
1405949327348932611,2021-06-18 18:03:35+00:00,rt  wef  study  most people support sharing vaccines with other countries    covid19  vaccines  ,0.1875,0.4375,en,4587,778,32242
1405949332050919431,2021-06-18 18:03:36+00:00,"rt  projecthalo  all uk adults are now eligible for their  covid19 vaccine  

the vaccines are safe  and effective at preventing you from g…",0.55,0.65,en,4532,1639,64864
1405949347636953096,2021-06-18 18:03:40+00:00,rt  healthza  18 june 2022 latest number of  covid19 statistics in south africa  coronavirussa                               …,0.5,0.9,en,5,33,1
1405949377689047040,2021-06-18 18:03:47+00:00,rt  kalainh  as of june 17th  t amp t has administered 201 313 doses of a who approved  covid19 vaccine  the country has approximately 56  of a…,-0.4,0.6,en,249,1242,8076
1405949389168943111,2021-06-18 18:03:50+00:00,"today  kingstonhsc reached the milestone of 25 000  covid19 vaccines given    and one of them was mine 
2nd dose do…  ",0.0,0.0,en,7013,1521,8411
1405949413747531779,2021-06-18 18:03:56+00:00,rt  healthza  18 june 2022 latest number of  covid19 statistics in south africa  coronavirussa                               …,0.5,0.9,en,85,207,5923
1405949413785325574,2021-06-18 18:03:56+00:00,my mother s and mine discussion about the covid19 vaccines went south  i explained which are available here  and th…  ,0.4,0.4,en,30,208,9650
1405949418256453634,2021-06-18 18:03:57+00:00,rt  realjoelsmalley  yet another amazingly qualified and courageous doctor  roger hodkinson  speaks out against the crazy government policy…,5.551115123125783e-17,0.9,en,1100,924,107806
1405949430801518596,2021-06-18 18:04:00+00:00,rt  healthza  18 june 2022 latest number of  covid19 statistics in south africa  coronavirussa                               …,0.5,0.9,en,184,1110,837
1405949442470158336,2021-06-18 18:04:03+00:00, israelmfa israel is a brutal nazi like entity     it sent expired vaccines to palestinians to further worsen the c…  ,-0.4375,0.75,en,9174,732,6088
1405949476263579651,2021-06-18 18:04:11+00:00,rt  cityoftoronto   teamtoronto  covid19 vaccination update for june 18  2 854 856 vaccine doses have been administered in the city  for in…,0.0,0.0,en,4324,2141,2470
1405949479094718470,2021-06-18 18:04:11+00:00,"rt  quizzicalgirl  please do your research first if you read or see something about vaccines or  covid19 that sounds unusual 

spreading di…",0.225,0.6666666666666666,en,23424,7712,930733
1405949521125838854,2021-06-18 18:04:21+00:00,rt  itranslate123   israelmfa israel is a brutal nazi like entity     it sent expired vaccines to palestinians to further worsen the covid1…,-0.4375,0.75,en,9174,732,6088
1405949529627693057,2021-06-18 18:04:23+00:00,i m really enjoying how he lays out all the stats of these things  ,0.5,0.6,en,249,1242,8076
